Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
den520d;257;256;10;37614;0;1;160,5376;1954;1;1;2;0;343;
ost003d;194;194;10;24422;0;1;30,2097000000001;1184;1;3;2;1;229;
brc202d;481;530;10;211779;0;1;1,94789999999989;1427;0;1;0;0;385;
den520d;257;256;10;37614;1;1;135,5848;1617;1;1;4;0;339;
ost003d;194;194;10;24422;1;1;603,4322;1299;7;10;12;4;248;
brc202d;481;530;10;211779;1;1;1,77250000000004;1672;0;1;0;0;395;
den520d;257;256;10;37614;2;1;3,53560000000016;1611;1;1;2;0;297;
ost003d;194;194;10;24422;2;1;11,1055999999999;973;1;1;3;0;272;
brc202d;481;530;10;211779;2;1;1,39590000000044;1198;0;1;0;0;358;
den520d;257;256;10;37614;3;1;1,59240000000045;1418;0;1;0;0;293;
ost003d;194;194;10;24422;3;1;23,2523999999994;1114;1;1;5;0;205;
brc202d;481;530;10;211779;3;1;5,97530000000006;1347;1;1;2;0;274;
den520d;257;256;10;37614;4;1;20,8432000000003;1232;1;1;3;0;229;
ost003d;194;194;10;24422;4;1;0,98660000000018;854;0;1;0;0;175;
brc202d;481;530;10;211779;4;1;11,2057999999997;1779;1;1;2;0;327;
den520d;257;256;10;37614;5;1;1,1819000000005;1066;0;1;0;0;244;
ost003d;194;194;10;24422;5;1;6,16660000000047;1204;1;1;2;0;207;
brc202d;481;530;10;211779;5;1;1,1890999999996;1400;0;1;0;0;167;
den520d;257;256;10;37614;6;1;15,3720999999987;1148;1;1;2;0;198;
ost003d;194;194;10;24422;6;1;7,73339999999916;794;1;1;2;0;198;
brc202d;481;530;10;211779;6;1;1,84909999999945;1501;0;1;0;0;341;
den520d;257;256;10;37614;7;1;1,53110000000015;1100;0;1;0;0;306;
ost003d;194;194;10;24422;7;1;2,73580000000038;651;1;1;2;0;125;
brc202d;481;530;10;211779;7;1;2,95830000000024;1175;0;1;0;0;288;
den520d;257;256;10;37614;8;1;1,34909999999945;1351;0;1;0;0;251;
ost003d;194;194;10;24422;8;1;4,82409999999982;1083;1;1;2;0;320;
brc202d;481;530;10;211779;8;1;9,86989999999969;1589;1;1;2;0;434;
den520d;257;256;10;37614;9;1;1,58339999999953;1316;0;1;0;0;347;
ost003d;194;194;10;24422;9;1;4,82610000000022;942;1;1;3;0;280;
brc202d;481;530;10;211779;9;1;3,40439999999944;1391;1;1;2;0;352;
den520d;257;256;20;37614;0;1;22,8930999999993;2855;1;1;2;0;304;
ost003d;194;194;20;24422;0;1;178,151300000001;1975;3;5;6;2;202;
brc202d;481;530;20;211779;0;1;11,6592000000001;2669;1;1;2;0;353;
den520d;257;256;20;37614;1;1;56,5378999999994;2845;1;1;6;0;307;
ost003d;194;194;20;24422;1;1;2,88739999999962;2222;0;1;0;0;260;
brc202d;481;530;20;211779;1;1;3,05740000000151;3187;0;1;0;0;364;
den520d;257;256;20;37614;2;1;53,9213999999993;2736;1;1;8;0;255;
ost003d;194;194;20;24422;2;1;27,0414000000019;2080;1;1;7;0;293;
brc202d;481;530;20;211779;2;1;10,1304999999993;2895;1;1;2;0;399;
den520d;257;256;20;37614;3;1;78,7979999999989;2886;1;1;9;0;277;
ost003d;194;194;20;24422;3;1;63,6906999999992;2736;3;5;12;2;248;
brc202d;481;530;20;211779;3;1;8,10880000000179;2242;1;1;2;0;391;
den520d;257;256;20;37614;4;1;7,89559999999983;2128;1;1;2;0;210;
ost003d;194;194;20;24422;4;1;13,7419000000009;2471;1;3;3;1;306;
brc202d;481;530;20;211779;4;1;12,6404000000002;2460;1;1;4;0;329;
den520d;257;256;20;37614;5;1;44,5135999999984;2662;1;1;6;0;282;
ost003d;194;194;20;24422;5;1;4,69919999999911;1859;1;1;2;0;298;
brc202d;481;530;20;211779;5;1;127,7262;2441;1;1;2;0;390;
den520d;257;256;20;37614;6;1;57,8411999999998;3117;1;1;5;0;341;
ost003d;194;194;20;24422;6;1;83,8845000000001;2299;7;10;19;4;211;
brc202d;481;530;20;211779;6;1;22,5138000000002;2350;1;1;5;0;283;
den520d;257;256;20;37614;7;1;26,9321;2405;1;1;4;0;215;
ost003d;194;194;20;24422;7;1;35,7088000000003;2821;1;1;8;0;288;
brc202d;481;530;20;211779;7;1;20,5927999999994;2297;1;1;4;0;242;
den520d;257;256;20;37614;8;1;48,0676999999996;2876;1;1;7;0;332;
ost003d;194;194;20;24422;8;1;247,959900000001;2447;3;3;9;2;328;
brc202d;481;530;20;211779;8;1;6,20069999999942;2642;1;1;2;0;333;
den520d;257;256;20;37614;9;1;241,121999999999;2188;5;5;12;4;320;
ost003d;194;194;20;24422;9;1;33,2885000000006;2088;1;1;8;0;211;
brc202d;481;530;20;211779;9;1;38,9837000000007;2204;2;3;3;2;385;
den520d;257;256;30;37614;0;1;103,588299999999;4330;1;1;11;0;286;
ost003d;194;194;30;24422;0;1;78,871799999999;2977;1;1;17;0;290;
brc202d;481;530;30;211779;0;1;26,1338999999989;3362;1;1;5;0;246;
den520d;257;256;30;37614;1;1;101,4493;3511;1;1;9;0;267;
ost003d;194;194;30;24422;1;1;710,9166;2954;21;36;42;6;203;
brc202d;481;530;30;211779;1;1;166,216199999999;4349;3;5;13;2;376;
den520d;257;256;30;37614;2;1;218,261200000001;4701;1;1;10;0;348;
ost003d;194;194;30;24422;2;1;103,434399999998;3230;3;3;11;2;377;
brc202d;481;530;30;211779;2;1;66,3197;4438;1;1;11;0;364;
den520d;257;256;30;37614;3;1;891,916000000001;4444;67;132;99;1;342;
ost003d;194;194;30;24422;3;1;35,1419999999998;2731;1;1;9;0;310;
brc202d;481;530;30;211779;3;1;92,0786000000007;4793;3;5;7;2;502;
den520d;257;256;30;37614;4;1;44,1782999999996;3823;1;1;7;0;361;
ost003d;194;194;30;24422;4;1;197,833999999999;3314;4;7;23;3;270;
brc202d;481;530;30;211779;4;1;16,0586000000003;4102;1;1;4;0;324;
den520d;257;256;30;37614;5;1;689,3331;4466;7;10;20;4;296;
ost003d;194;194;30;24422;5;1;162,021199999999;3420;2;3;20;1;335;
brc202d;481;530;30;211779;5;1;19,9620000000032;3287;1;1;4;0;394;
den520d;257;256;30;37614;6;1;66,7583000000013;3264;1;1;5;0;264;
ost003d;194;194;30;24422;6;1;283,858100000001;3828;3;5;14;2;353;
brc202d;481;530;30;211779;6;1;38,2255999999979;3264;1;1;6;0;276;
den520d;257;256;30;37614;7;1;194,469400000002;4851;3;5;17;2;355;
ost003d;194;194;30;24422;7;1;280,0723;2639;44;87;73;3;346;
brc202d;481;530;30;211779;7;1;50,5935000000027;5285;1;1;6;0;441;
den520d;257;256;30;37614;8;1;131,298999999999;4312;1;1;9;0;342;
ost003d;194;194;30;24422;8;1;328,440999999999;3810;13;25;33;5;372;
brc202d;481;530;30;211779;8;1;70,0799999999945;3661;5;5;11;4;366;
den520d;257;256;30;37614;9;1;195,819599999995;4219;3;5;18;2;294;
ost003d;194;194;30;24422;9;1;82,1782999999996;2855;3;5;14;2;275;
brc202d;481;530;30;211779;9;1;16,7362999999968;3636;1;1;4;0;353;
den520d;257;256;40;37614;0;1;172,728200000005;5695;3;5;17;2;374;
ost003d;194;194;40;24422;0;1;242,639899999995;4524;7;13;28;5;312;
brc202d;481;530;40;211779;0;1;84,1131000000023;5641;1;1;14;0;410;
den520d;257;256;40;37614;1;1;278,182999999997;5444;1;1;20;0;347;
ost003d;194;194;40;24422;1;1;3099,9339;3713;77;152;114;5;286;
brc202d;481;530;40;211779;1;1;165,779399999999;5165;3;5;20;2;351;
den520d;257;256;40;37614;2;1;1169,3509;5065;66;130;102;1;301;
ost003d;194;194;40;24422;2;1;39,5631999999969;3870;1;1;10;0;300;
brc202d;481;530;40;211779;2;1;44,6404999999941;5128;1;1;9;0;301;
den520d;257;256;40;37614;3;1;279,984199999999;6439;4;7;20;3;336;
ost003d;194;194;40;24422;3;1;1315,2585;4812;67;132;118;1;332;
brc202d;481;530;40;211779;3;1;128,030200000001;6404;2;3;14;1;512;
den520d;257;256;40;37614;4;1;158,233999999997;5161;2;3;23;1;312;
ost003d;194;194;40;24422;4;1;143,955000000002;3765;4;7;19;2;272;
brc202d;481;530;40;211779;4;1;43,299199999994;4619;1;1;5;0;377;
den520d;257;256;40;37614;5;1;287,077400000009;6056;6;11;23;3;333;
ost003d;194;194;40;24422;5;1;328,152700000006;4537;7;10;29;4;282;
brc202d;481;530;40;211779;5;1;98,8515999999945;5885;3;5;14;2;356;
den520d;257;256;40;37614;6;1;113,963499999998;4634;1;1;15;0;276;
ost003d;194;194;40;24422;6;1;628,010100000014;5150;6;11;31;4;342;
brc202d;481;530;40;211779;6;1;883,870600000009;4519;67;132;90;1;289;
den520d;257;256;40;37614;7;1;108,286300000007;4926;2;3;14;1;298;
ost003d;194;194;40;24422;7;0;300009,1869;-2;99;187;147;5;-1;
brc202d;481;530;40;211779;7;1;39,9896999999764;5028;1;1;7;0;241;
den520d;257;256;40;37614;8;1;371,090200000035;5533;7;13;37;4;370;
ost003d;194;194;40;24422;8;1;13177,5579;4222;140;278;177;4;326;
brc202d;481;530;40;211779;8;1;78,4296999999788;5187;1;1;10;0;528;
den520d;257;256;40;37614;9;1;230,818000000028;5858;2;3;22;0;384;
ost003d;194;194;40;24422;9;1;381,376300000004;4846;8;15;36;5;280;
brc202d;481;530;40;211779;9;1;132,161699999997;5401;3;3;17;2;413;
den520d;257;256;50;37614;0;1;253,791099999973;6256;3;5;20;2;316;
ost003d;194;194;50;24422;0;1;1853,7697;5241;18;26;56;5;327;
brc202d;481;530;50;211779;0;1;156,999899999995;6803;4;7;19;3;408;
den520d;257;256;50;37614;1;1;304,550900000031;6945;3;5;32;2;336;
ost003d;194;194;50;24422;1;1;293,797499999986;5510;7;13;35;4;381;
brc202d;481;530;50;211779;1;1;65,6058000000194;6372;3;5;11;2;466;
den520d;257;256;50;37614;2;1;277,0098;7540;3;5;23;2;401;
ost003d;194;194;50;24422;2;1;1973,18900000001;5535;76;149;138;4;299;
brc202d;481;530;50;211779;2;1;100,882500000007;6679;2;3;15;2;345;
den520d;257;256;50;37614;3;1;275,040500000003;6997;1;1;26;0;315;
ost003d;194;194;50;24422;3;1;185,054399999965;4706;6;11;32;4;365;
brc202d;481;530;50;211779;3;1;281,862699999998;6919;7;10;26;4;339;
den520d;257;256;50;37614;4;1;210,474799999967;6595;1;1;25;0;331;
ost003d;194;194;50;24422;4;0;300007,5743;-2;325;444;401;16;-1;
brc202d;481;530;50;211779;4;1;136,965599999996;5400;7;7;17;6;372;
den520d;257;256;50;37614;5;1;228,457200000063;6046;3;5;26;2;278;
ost003d;194;194;50;24422;5;1;36555,0584;5406;74;140;129;3;368;
brc202d;481;530;50;211779;5;1;148,31549999991;7018;3;5;19;2;493;
den520d;257;256;50;37614;6;0;300008,3758;-2;184;296;238;8;-1;
ost003d;194;194;50;24422;6;1;306,817700000014;5257;7;10;35;4;297;
brc202d;481;530;50;211779;6;1;90,4853000000585;7021;3;5;14;2;559;
den520d;257;256;50;37614;7;1;297,077700000023;6466;3;5;25;2;343;
ost003d;194;194;50;24422;7;1;734,536899999948;5113;17;22;45;6;298;
brc202d;481;530;50;211779;7;1;126,88049999997;6339;1;1;20;0;359;
den520d;257;256;50;37614;8;1;234,860799999908;6315;5;9;24;3;351;
ost003d;194;194;50;24422;8;1;2338,95480000018;6427;75;148;141;3;348;
brc202d;481;530;50;211779;8;1;86,4268999998458;6531;1;1;18;0;305;
den520d;257;256;50;37614;9;1;226,257599999895;6494;3;5;23;2;372;
ost003d;194;194;50;24422;9;1;98,0681000000332;4556;3;5;22;2;207;
brc202d;481;530;50;211779;9;1;270,391199999955;7223;5;9;19;3;322;
den520d;257;256;60;37614;0;1;332,614199999953;8041;1;1;34;0;341;
ost003d;194;194;60;24422;0;1;1053,11569999997;6671;22;43;69;7;335;
brc202d;481;530;60;211779;0;1;105,394799999893;7483;1;1;17;0;326;
den520d;257;256;60;37614;1;1;293,240700000199;8107;3;5;30;2;373;
ost003d;194;194;60;24422;1;1;570,931600000011;5719;19;37;59;6;342;
brc202d;481;530;60;211779;1;1;136,857199999969;7846;1;1;19;0;328;
den520d;257;256;60;37614;2;1;307,967799999984;7867;1;1;34;0;289;
ost003d;194;194;60;24422;2;1;332,21800000011;6322;3;5;43;2;296;
brc202d;481;530;60;211779;2;1;3449,81609999994;7339;101;136;116;8;428;
den520d;257;256;60;37614;3;1;5155,09840000002;8239;67;132;122;1;347;
ost003d;194;194;60;24422;3;1;636,660200000042;6334;9;17;49;6;318;
brc202d;481;530;60;211779;3;1;831,751199999824;6888;13;25;44;5;292;
den520d;257;256;60;37614;4;1;538,363899999997;8366;2;3;41;1;381;
ost003d;194;194;60;24422;4;1;517,027399999788;6368;9;17;48;5;316;
brc202d;481;530;60;211779;4;1;1747,92050000001;7322;35;53;59;8;463;
den520d;257;256;60;37614;5;1;435,706000000006;7002;5;5;31;4;374;
ost003d;194;194;60;24422;5;1;12775,0514;6618;138;274;208;7;340;
brc202d;481;530;60;211779;5;1;107,911599999992;7507;2;3;16;1;415;
den520d;257;256;60;37614;6;1;349,609300000127;9613;3;5;30;2;353;
ost003d;194;194;60;24422;6;1;25784,6007999999;6746;253;503;467;10;250;
brc202d;481;530;60;211779;6;1;205,61810000008;7846;2;3;22;1;419;
den520d;257;256;60;37614;7;1;519,736999999965;7778;3;5;40;2;330;
ost003d;194;194;60;24422;7;1;4845,61549999984;7274;71;141;139;7;314;
brc202d;481;530;60;211779;7;1;1235,26980000013;7342;67;132;103;1;321;
den520d;257;256;60;37614;8;1;389,827800000086;8048;2;2;36;0;406;
ost003d;194;194;60;24422;8;1;47318,6363000001;6923;132;261;220;7;373;
brc202d;481;530;60;211779;8;1;183,28740000003;7756;2;3;22;1;422;
den520d;257;256;60;37614;9;1;251,457200000063;7234;3;5;23;2;348;
